d,date,time,weekday,workday,humidity,temperature
2019-03-14 12:45:00,2019-03-14,12:45:00,3,True,87.0,6.1
2019-03-14 12:50:00,2019-03-14,12:50:00,3,True,87.0,6.1
2019-03-14 12:55:00,2019-03-14,12:55:00,3,True,87.0,6.1
2019-03-14 13:00:00,2019-03-14,13:00:00,3,True,87.0,6.1
2019-03-14 13:05:00,2019-03-14,13:05:00,3,True,87.0,6.1
2019-03-14 13:10:00,2019-03-14,13:10:00,3,True,87.0,6.1
2019-03-14 13:15:00,2019-03-14,13:15:00,3,True,65.0,7.2
2019-03-14 13:20:00,2019-03-14,13:20:00,3,True,65.0,7.2
2019-03-14 13:25:00,2019-03-14,13:25:00,3,True,65.0,7.2
2019-03-14 13:30:00,2019-03-14,13:30:00,3,True,65.0,7.2
2019-03-14 13:35:00,2019-03-14,13:35:00,3,True,65.0,7.2
2019-03-14 13:40:00,2019-03-14,13:40:00,3,True,65.0,7.2
2019-03-14 13:45:00,2019-03-14,13:45:00,3,True,65.0,7.8
